employee_id,department,gap_count,top_recommendation,training_duration,training_type,all_recommendations
224,Sales,671,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
225,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
226,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
227,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
228,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
229,HR,396,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
230,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
231,Finance,1432,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
232,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
233,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
234,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
235,HR,398,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
236,Finance,1434,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
237,Sales,670,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
238,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
239,Finance,1434,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
240,IT,2491,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
241,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
242,Marketing,176,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
243,Support,401,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
244,Support,401,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
245,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
246,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
247,IT,2493,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
248,IT,2493,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
249,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
250,IT,2493,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
251,Finance,1432,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
252,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
253,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
254,IT,2495,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
255,Sales,670,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
256,HR,398,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
257,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
258,HR,396,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
259,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
260,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
261,Marketing,176,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
262,IT,2494,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
263,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
264,Finance,1434,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
265,HR,398,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
266,Marketing,176,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
267,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
268,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
269,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
270,HR,396,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
271,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
272,Marketing,174,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
273,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
274,IT,2493,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
275,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
276,IT,2494,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
277,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
